,Brand,Manufacturing Year,Model,Kilometers Driven,Fuel Type,Transmission Type,Price,Location
0,Hyundai,2017,Creta SX PLUS AT 1.6 PETROL,98493,Petrol,Automatic,953000,Bangalore
1,Hyundai,2017,Eon ERA PLUS (O),33963,Petrol,Manual,381000,Bangalore
2,Hyundai,2019,Creta SX 1.6 DIESEL,43987,Diesel,Manual,1152000,Bangalore
3,Hyundai,2019,NEW SANTRO MAGNA,33609,Petrol,Manual,429000,Bangalore
4,Hyundai,2021,NEW I20 ASTA 1.0 TURBO IMT DUAL TONE,26797,Petrol,Manual,1021000,Bangalore
5,Hyundai,2019,Creta SX AT 1.6 PETROL,43448,Petrol,Automatic,1128000,Bangalore
6,Hyundai,2016,Creta SX PLUS AT 1.6 PETROL,97183,Petrol,Automatic,873000,Bangalore
7,Hyundai,2012,i20 SPORTZ 1.2,99928,Petrol,Manual,405000,Bangalore
8,Hyundai,2021,Verna SX (O) 1.5 VTVT IVT,26940,Petrol,Automatic,1332000,Bangalore
9,Hyundai,2018,Creta SX PLUS AT 1.6 PETROL,66956,Petrol,Automatic,942000,Bangalore
10,Hyundai,2018,Grand i10 ASTA 1.2 KAPPA VTVT,91312,Petrol,Manual,518000,Bangalore
11,Hyundai,2016,Grand i10 SPORTZ 1.2 KAPPA VTVT,63572,Petrol,Manual,449000,Bangalore
12,Hyundai,2020,NEW I20 Asta 1.0 GDI Turbo IMT,22995,Petrol,Manual,894000,Bangalore
13,Hyundai,2019,Creta SX AT 1.6 PETROL,51652,Petrol,Automatic,1211000,Bangalore
14,Hyundai,2019,NEW SANTRO SPORTZ MT,43454,Petrol,Manual,475000,Bangalore
15,Hyundai,2015,Elite i20 ASTA 1.2,69680,Petrol,Manual,552000,Bangalore
16,Hyundai,2022,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,16247,CNG,Manual,786000,Bangalore
17,Hyundai,2013,Verna FLUIDIC 1.6 CRDI SX,46332,Diesel,Manual,536000,Bangalore
18,Hyundai,2015,Elite i20 ASTA 1.2,88718,Petrol,Manual,493000,Bangalore
19,Hyundai,2022,GRAND I10 NIOS SPORTZ 1.0 TURBO GDI,17693,Petrol,Manual,698000,Bangalore
20,Hyundai,2019,NEW SANTRO SPORTZ MT,33811,Petrol,Manual,533000,Bangalore
21,Hyundai,2019,VENUE SX 1.0 TURBO,69173,Petrol,Manual,796000,Bangalore
22,Hyundai,2022,Creta EX 1.5 PETROL,15137,Petrol,Manual,1170000,Bangalore
23,Hyundai,2013,i10 SPORTZ 1.2,34376,Petrol,Manual,311000,Bangalore
24,Hyundai,2017,Grand i10 ASTA 1.2 KAPPA VTVT,72138,Petrol,Manual,462000,Bangalore
25,Hyundai,2015,Grand i10 ASTA (O) 1.2 KAPPA VTVT,67557,Petrol,Manual,429000,Bangalore
26,Hyundai,2011,i20 MAGNA 1.2,89386,Petrol,Manual,258000,Bangalore
27,Hyundai,2022,GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,40038,Petrol,Manual,596000,Bangalore
28,Hyundai,2019,New Elantra 2.0 SX(O) AT PETROL,14129,Petrol,Automatic,1534000,Bangalore
29,Hyundai,2012,i20 SPORTZ 1.2,64048,Petrol,Manual,349000,Bangalore
30,Hyundai,2018,Grand i10 MAGNA 1.2 KAPPA VTVT,60626,Petrol,Manual,432000,Bangalore
31,Hyundai,2016,Creta E PLUS 1.6 PETROL,54309,Petrol,Manual,819000,Bangalore
32,Hyundai,2012,Verna FLUIDIC 1.6 VTVT SX,88309,Petrol,Manual,436000,Bangalore
33,Hyundai,2020,AURA SX 1.2,21521,Petrol,Manual,655000,Bangalore
34,Hyundai,2018,Grand i10 SPORTZ 1.2 KAPPA VTVT,43237,Petrol,Manual,492000,Bangalore
35,Hyundai,2015,i10 MAGNA 1.1,65097,Petrol,Manual,341000,Bangalore
36,Hyundai,2018,Verna 1.6 VTVT SX,32982,Petrol,Manual,846000,Bangalore
37,Hyundai,2012,i10 SPORTZ 1.2,75384,Petrol,Manual,312000,Bangalore
38,Hyundai,2020,NEW SANTRO MAGNA,29027,Petrol,Manual,451000,Bangalore
39,Hyundai,2010,Santro Xing GL,79984,Petrol,Manual,182000,Bangalore
40,Hyundai,2013,i20 SPORTZ 1.4 AT,56822,Petrol,Automatic,395000,Bangalore
41,Hyundai,2021,GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,31259,Petrol,Automatic,699000,Bangalore
42,Hyundai,2014,Verna FLUIDIC 1.6 VTVT SX,46423,Petrol,Manual,583000,Bangalore
43,Hyundai,2014,Grand i10 ASTA AT 1.2 KAPPA VTVT,44032,Petrol,Automatic,408000,Bangalore
44,Hyundai,2016,Creta SX 1.6 DIESEL,58014,Diesel,Manual,858000,Bangalore
45,Hyundai,2013,Grand i10 MAGNA 1.2 KAPPA VTVT,87459,Petrol,Manual,336000,Bangalore
46,Hyundai,2015,Grand i10 SPORTZ 1.2 KAPPA VTVT,100708,Petrol,Manual,374000,Bangalore
47,Hyundai,2018,Elite i20 SPORTZ 1.2,77073,Petrol,Manual,567000,Bangalore
48,Hyundai,2018,Creta SX PLUS 1.6 PETROL,57288,Petrol,Manual,907000,Bangalore
49,Hyundai,2021,VENUE SX 1.0 TURBO,25798,Petrol,Manual,963000,Bangalore
50,Hyundai,2011,Santro Xing GL PLUS,49805,Petrol,Manual,254000,Bangalore
51,Hyundai,2014,Grand i10 ASTA AT 1.2 KAPPA VTVT,82706,Petrol,Automatic,388000,Bangalore
52,Hyundai,2012,Verna FLUIDIC 1.6 CRDI SX,123296,Diesel,Manual,442000,Bangalore
53,Hyundai,2012,i20 SPORTZ 1.4 CRDI,84002,Diesel,Manual,385000,Bangalore
54,Hyundai,2019,Creta SX AT 1.6 PETROL,28264,Petrol,Automatic,1140000,Bangalore
55,Hyundai,2015,Verna FLUIDIC 4S1.6 VTVT S O AT,32301,Petrol,Automatic,633000,Bangalore
56,Hyundai,2020,GRAND I10 NIOS SPORTZ U2 1.2 CRDI,39250,Diesel,Manual,709000,Bangalore
57,Hyundai,2014,i20 SPORTZ 1.2,65562,Petrol,Manual,422000,Bangalore
58,Hyundai,2022,VENUE S 1.2,9802,Petrol,Manual,905000,Bangalore
59,Hyundai,2020,GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT DUAL TONE,17472,Petrol,Manual,674000,Bangalore
60,Hyundai,2016,Elite i20 MAGNA 1.2,65656,Petrol,Manual,544000,Bangalore
61,Hyundai,2020,VENUE SX PLUS 1.0 TURBO DCT,29075,Petrol,Automatic,984000,Bangalore
62,Hyundai,2019,Tucson 2WD MT PETROL,31249,Petrol,Manual,1241000,Bangalore
63,Hyundai,2015,i20 Active 1.4 SX,86615,Diesel,Manual,568000,Bangalore
64,Hyundai,2021,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,10826,Petrol,Automatic,763000,Bangalore
65,Hyundai,2016,Grand i10 SPORTZ 1.2 KAPPA VTVT,82571,Petrol,Manual,372000,Bangalore
66,Hyundai,2021,ALCAZAR PRESTIGE (O) 6STR 2.0 AT,12485,Petrol,Automatic,1676000,Bangalore
67,Hyundai,2017,Grand i10 ASTA 1.2 KAPPA VTVT,40581,Petrol,Manual,476000,Bangalore
68,Hyundai,2013,i10 SPORTZ 1.2 AT,78126,Petrol,Automatic,302000,Bangalore
69,Hyundai,2018,Verna 1.6 CRDI SX,117994,Diesel,Manual,730000,Bangalore
70,Hyundai,2015,Creta SX PLUS AT 1.6 DIESEL,106215,Diesel,Automatic,835000,Bangalore
71,Hyundai,2021,VENUE SX 1.0 (O) TURBO IMT,17981,Petrol,Manual,1060000,Bangalore
72,Hyundai,2011,i10 MAGNA 1.2,43583,Petrol,Manual,269000,Bangalore
73,Hyundai,2012,i20 ASTA 1.4 CRDI,115681,Diesel,Manual,379000,Bangalore
74,Hyundai,2022,VENUE SX 1.0 (O) TURBO IMT,21422,Petrol,Manual,1127000,Bangalore
75,Hyundai,2014,i20 SPORTZ 1.4 CRDI,102555,Diesel,Manual,432000,Bangalore
76,Hyundai,2018,Verna 1.6 VTVT SX,60087,Petrol,Manual,797000,Bangalore
77,Hyundai,2011,Santro Xing GLS,55224,Petrol,Manual,245000,Bangalore
78,Hyundai,2016,i10 SPORTZ 1.1,48427,Petrol,Manual,386000,Bangalore
79,Hyundai,2020,Creta SX (O) 1.4 TURBO DCT,32794,Petrol,Automatic,1515000,Bangalore
80,Hyundai,2016,Elite i20 ASTA 1.4 CRDI (O),76454,Diesel,Manual,647000,Bangalore
81,Hyundai,2019,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,18462,Petrol,Automatic,698000,Bangalore
82,Hyundai,2019,Verna 1.6 VTVT SX (O) AT,49820,Petrol,Automatic,1024000,Bangalore
83,Hyundai,2017,Eon ERA PLUS (O),36950,Petrol,Manual,322000,Bangalore
84,Hyundai,2018,Verna 1.6 VTVT SX,44659,Petrol,Manual,834000,Bangalore
85,Hyundai,2022,NEW I20 ASTA (O) 1.2 AT,12885,Petrol,Automatic,1103000,Bangalore
86,Hyundai,2011,i20 SPORTZ (O) 1.2,65841,Petrol,Manual,306000,Bangalore
87,Hyundai,2011,i10 SPORTZ 1.2,91035,Petrol,Manual,260000,Bangalore
88,Hyundai,2012,i20 SPORTZ 1.4 CRDI,83337,Diesel,Manual,369000,Bangalore
89,Hyundai,2019,VENUE SX PLUS 1.0 TURBO DCT,44309,Petrol,Automatic,964000,Bangalore
90,Hyundai,2018,Creta SX (O) 1.6 DIESEL,40746,Diesel,Manual,1217000,Bangalore
91,Hyundai,2011,i10 MAGNA 1.2,130587,Petrol,Manual,218000,Bangalore
92,Hyundai,2019,Creta SX (O) EXECUTIVE 1.6 PETROL,48476,Petrol,Manual,1118000,Bangalore
93,Hyundai,2016,Elite i20 SPORTZ 1.2,36748,Petrol,Manual,638000,Bangalore
94,Hyundai,2019,GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,36365,Petrol,Automatic,663000,Bangalore
95,Hyundai,2020,AURA SX 1.2 (O),41269,Petrol,Manual,712000,Bangalore
96,Hyundai,2017,Creta SX PLUS AT 1.6 PETROL,80561,Petrol,Automatic,902000,Bangalore
97,Hyundai,2017,Creta SX PLUS 1.6 PETROL,52427,Petrol,Manual,902000,Bangalore
98,Hyundai,2011,i20 SPORTZ 1.2,52325,Petrol,Manual,327000,Bangalore
99,Hyundai,2011,i20 SPORTZ (O) 1.2,111350,Petrol,Manual,299000,Bangalore
100,Hyundai,2017,Creta SX PLUS AT 1.6 PETROL,55620,Petrol,Automatic,991000,Bangalore
101,Hyundai,2018,Verna 1.6 VTVT SX,15912,Petrol,Manual,913000,Bangalore
102,Hyundai,2016,Elite i20 ASTA 1.2 (O),36174,Petrol,Manual,690000,Bangalore
103,Hyundai,2020,AURA SX+ 1.0 TURBO GDI MT,39864,Petrol,Manual,740000,Bangalore
104,Hyundai,2017,i20 Active 1.2 SX,69694,Petrol,Manual,649000,Bangalore
105,Hyundai,2016,Verna FLUIDIC 1.6 CRDI S 4S,65029,Diesel,Manual,771000,Bangalore
106,Hyundai,2015,Eon ERA +,22557,Petrol,Manual,302000,Bangalore
107,Hyundai,2021,ALCAZAR 1.5 SIGNATURE (O) AT 6STR,24546,Diesel,Automatic,1898000,Bangalore
108,Hyundai,2015,Grand i10 SPORTZ 1.2 KAPPA VTVT,23523,Petrol,Manual,434000,Bangalore
109,Hyundai,2017,Creta E PLUS 1.6 PETROL,55852,Petrol,Manual,853000,Bangalore
110,Hyundai,2012,i20 ASTA 1.4 CRDI,102029,Diesel,Manual,400000,Bangalore
111,Hyundai,2017,Elite i20 ASTA 1.2,29254,Petrol,Manual,615000,Bangalore
112,Hyundai,2014,i10 SPORTZ 1.1,82502,Petrol,Manual,294000,Bangalore
113,Hyundai,2018,Verna 1.6 VTVT SX,55600,Petrol,Manual,828000,Bangalore
114,Hyundai,2022,ALCAZAR 2.0 SIGNATURE (O) AT 7STR,11009,Petrol,Automatic,1889000,Bangalore
115,Hyundai,2016,Creta SX PLUS 1.6 PETROL,69273,Petrol,Manual,836000,Bangalore
116,Hyundai,2016,Grand i10 ASTA (O) 1.2 KAPPA VTVT,27464,Petrol,Manual,514000,Bangalore
117,Hyundai,2019,VENUE SX PLUS 1.0 TURBO DCT,43922,Petrol,Automatic,900000,Bangalore
118,Hyundai,2017,Creta SX PLUS 1.6 PETROL,68811,Petrol,Manual,944000,Bangalore
119,Hyundai,2023,VENUE SX 1.0 (O) TURBO IMT,6278,Petrol,Manual,1218000,Bangalore
120,Hyundai,2017,Elite i20 ASTA 1.2,43170,Petrol,Manual,713000,Bangalore
121,Hyundai,2018,Grand i10 SPORTZ (O) 1.2 KAPPA VTVT,103142,Petrol,Manual,465000,Bangalore
122,Hyundai,2016,Grand i10 ASTA (O) 1.2 KAPPA VTVT,65458,Petrol,Manual,505000,Bangalore
123,Hyundai,2017,Grand i10 SPORTZ AT 1.2 KAPPA VTVT,47224,Petrol,Automatic,555000,Bangalore
